13.69;[0, 1];[0, 2];[0, 3];[1, 1]
13.64;[0];[0, 1];[0, 1, 2];[0, 2, 2]
13.64;[0];[0, 1, 1];[0, 2];[0, 2, 2]
13.64;[0];[0, 2];[0, 1, 1];[0, 2, 2]
13.64;[0];[0, 2];[0, 1, 2];[1, 2]
13.64;[0];[0, 2];[0, 2];[0, 1, 1, 2]
13.64;[0, 1];[0];[0, 1, 2];[0, 2, 2]
13.64;[0, 1];[0, 1];[0, 2];[0, 2, 2]
13.64;[0, 1];[0, 2];[2];[0, 1, 2]
13.64;[0, 1];[0, 2];[0, 1];[0, 2, 2]
13.64;[0, 1];[0, 2];[0, 1, 2];[2]
13.43;[0];[0];[0, 1, 1, 1];[0, 1, 1, 2]
13.43;[0];[0];[0, 1, 2];[0, 1, 1, 1, 1]
13.43;[0];[0, 1];[0, 1, 1];[0, 1, 1, 2]
13.43;[0];[0, 1];[0, 1, 1, 1];[1, 2]
13.43;[0];[0, 1];[0, 1, 2];[1, 1, 1]
13.43;[0];[0, 1];[0, 2];[0, 1, 1, 1, 1]
13.43;[0];[0, 1, 1];[1, 1];[0, 1, 2]
13.43;[0];[0, 1, 1];[2];[0, 1, 1, 1]
13.43;[0];[0, 1, 1];[0, 1];[0, 1, 1, 2]
13.43;[0];[0, 1, 1];[0, 1, 1, 1];[2]
13.43;[0];[0, 1, 1];[0, 1, 2];[1, 1]
13.43;[0];[0, 2];[1, 1];[0, 1, 1, 1]
13.43;[0];[0, 2];[0, 1];[0, 1, 1, 1, 1]
13.43;[0];[0, 2];[0, 1, 1, 1];[1, 1]
13.43;[0, 1];[1];[0, 1, 1];[0, 1, 2]
13.43;[0, 1];[1];[0, 2];[0, 1, 1, 1]
13.43;[0, 1];[0];[0, 1, 1];[0, 1, 1, 2]
13.43;[0, 1];[0];[0, 1, 1, 1];[1, 2]
13.43;[0, 1];[0];[0, 1, 2];[1, 1, 1]
13.43;[0, 1];[0];[0, 2];[0, 1, 1, 1, 1]
